npm,nama,kelas,agama,semester,jenis_kelamin,alamat,no_hp,email,nilai_asli_c5,nilai_asli_c6,nilai_asli_c1,nilai_asli_c2,nilai_asli_c3,nilai_asli_c4,tanggal_lahir
51412261,MAHASISWA 1,4IA02,ISLAM,7,Pria,DEPOK,81399876654,mahasiswa1@gmail.com,3.67,LOKAL,77,84,88,74,24/08/1994
51412262,MAHASISWA 2,4IA01,ISLAM,7,Pria,DEPOK,85711212425,mahasiswa2@gmail.com,3.12,LOKAL,90,91,74,77,24/08/1995
51412263,MAHASISWA 3,3IA01,ISLAM,5,Pria,DEPOK,85711801980,mahasiswa3@gmail.com,3.84,LOKAL,90,94,88,94,24/08/1996
51412264,MAHASISWA 4,4IA01,ISLAM,7,Pria,BOGOR,89998761121,mahasiswa4@ymail.com,3.77,LOKAL,91,81,91,92,24/08/1997
51412265,MAHASISWA 5,4KA01,ISLAM,7,Pria,BOGOR,89887886512,mahasiswa5@yahoo.com,2.92,LOKAL,94,81,85,92,24/08/1998
51412266,MAHASISWA 6,3IA01,ISLAM,5,Wanita,BOJONG,81278901144,mahasiswa6@gmail.com,3.05,LOKAL,96,82,86,88,24/08/1999
51412267,MAHASISWA 7,3KA01,KRISTEN,5,Pria,DEPOK,81299923255,mahasiswa7@gmail.com,3.21,LOKAL,95,91,92,89,24/08/2000
51412268,MAHASISWA 8,NON KELAS,KRISTEN,9,Pria,JAKARTA,85723259074,mahasiswa8@gmail.com,2.98,LOKAL,72,70,88,92,24/08/2001
51412269,MAHASISWA 9,3KA01,ISLAM,5,Pria,JAKARTA,87778484512,mahasiswa9@yahoo.com,2.88,LOKAL,69,77,76,64,24/08/2002
51412270,MAHASISWA 10,3IA02,ISLAM,5,Pria,DEPOK,81219808188,mahasiswa10@gmail.com,3.21,LOKAL,80,67,78,76,24/08/2003
